"tow.id","longitude","latitude","station","new.station","fish.sample","longitude.2013","latitude.2013"
"GP354F",-60.389115,47.3834241666667,"regular","No","No",NA,NA
"GP351F",-60.459815,47.43172,"regular","No","No",NA,NA
"GP353F",-60.4023091666667,47.5227383333333,"regular","No","Yes",NA,NA
"GP352F",-60.4383158333333,47.5562308333333,"regular","No","Yes",NA,NA
"GP350F",-60.4816433333333,47.5099291666667,"regular","No","No",NA,NA
"GP346F",-60.6084741666667,47.4794866666667,"regular","No","Yes",NA,NA
"GP342F",-60.6893333333333,47.5713833333333,"fixed 2013","Yes","Yes",NA,NA
"GP334F",-62.3035447040557,48.3469425523551,"regular","Yes","Yes",NA,NA
"GP323F",-61.0042775,47.6273408333333,"regular","No","No",NA,NA
"GP325F",-60.9530175,47.781615,"regular","No","No",NA,NA
"GP335F",-60.8319,47.77045,"fixed 2013","Yes","Yes",NA,NA
"GP344F",-60.5914333333333,47.7600833333333,"fixed 2013","Yes","No",NA,NA
"GP341F",-60.6896,47.8114,"fixed 2013","Yes","No",NA,NA
"GP331F",-60.8997016666667,47.8320766666667,"regular","No","No",NA,NA
"GP326F",-61.07155,47.87265,"fixed 2013","Yes","Yes",NA,NA
"GP315F",-61.10425,47.8768,"fixed 2013","Yes","Yes",NA,NA
"GP324F",-60.96396,47.9150125,"regular","No","Yes",NA,NA
"GP313F",-61.1034341666667,47.9680358333333,"regular","No","No",NA,NA
"GP320F",-61.0222166666667,48.0328,"fixed 2013","Yes","No",NA,NA
"GP312F",-61.1146833333333,48.08115,"fixed 2013","Yes","Yes",NA,NA
"GP316F",-61.2408841666667,48.1955666666667,"regular","No","Yes",NA,NA
"GP295F",-61.4053666666667,48.09545,"fixed 2013","Yes","No",NA,NA
"GP293F",-61.4270016666667,48.220755,"regular","No","No",NA,NA
"GP282F",-61.6896666666667,48.18145,"fixed 2013","Yes","Yes",NA,NA
"GP273F",-61.7067575,48.1137791666667,"regular","No","No",NA,NA
"GP269F",-61.7842316666667,48.2837725,"regular","No","No",NA,NA
"GP260F",-61.8834841666667,48.2347566666667,"regular","No","No",NA,NA
"GP251F",-62.06935,48.1653166666667,"fixed 2013","Yes","No",NA,NA
"GP250F",-61.9406791666667,48.2876208333333,"regular","No","No",NA,NA
"GP235F",-62.11169,48.4029933333333,"regular","No","No",NA,NA
"GP237F",-62.1084033333333,48.3600066666667,"regular","No","No",-62.1905166666667,48.3573833333333
"GP208F",-62.4623991003784,48.2977555975857,"regular","Yes","Yes",NA,NA
"GP120F",-63.2433983333333,48.9107775,"regular","No","No",NA,NA
"GP098F",-63.4243083333333,48.93282,"regular","No","No",NA,NA
"GP081F",-63.5933766666667,48.8992316666667,"regular","No","Yes",NA,NA
"GP072F",-63.669025,48.7396291666667,"regular","No","No",NA,NA
"GP085F",-63.56165,48.8253833333333,"fixed 2013","Yes","No",NA,NA
"GP109F",-63.3491375,48.8389608333333,"regular","No","No",NA,NA
"GP122F",-63.2513,48.7488166666667,"fixed 2013","Yes","Yes",NA,NA
"GP121F",-63.2382008333333,48.66839,"regular","No","No",NA,NA
"GP142F",-63.1069783333333,48.714555,"regular","No","Yes",NA,NA
"GP156F",-62.9306725,48.5918166666667,"regular","No","No",NA,NA
"GP134F",-63.1471191666667,48.5648241666667,"regular","No","No",NA,NA
"GP139F",-63.1918624405954,48.2435017382328,"regular","Yes","No",NA,NA
"GP115F",-63.3032875,48.4400125,"regular","No","Yes",NA,NA
"GP130F",-63.1787333333333,48.3379166666667,"fixed 2013","Yes","Yes",NA,NA
"GP152F",-63.051429002539,48.3169612906356,"fixed 2013","Yes","No",NA,NA
"GP138F",-62.9629216666667,48.3866941666667,"regular","No","Yes",NA,NA
"GP166F",-62.8463866666667,48.4163958333333,"regular","No","No",NA,NA
"GP187F",-62.6356458333333,48.4458508333333,"regular","No","No",NA,NA
